"RegNo","Place","State"
"AN01","Port Blair, Andaman District","Andaman & Nicobar Islands"
"AN02","Car Nicobar, Nicobar District","Andaman & Nicobar Islands"
"AP01","Adilabad / Mancherial / Nirmal","Andhra Pradesh"
"AP02","Anantapur / Hindupur","Andhra Pradesh"
"AP03","Chittoor / Tirupati / Madanapalle / Rajampet","Andhra Pradesh"
"AP04","Kadapa / Proddatur","Andhra Pradesh"
"AP05","Kakinada / Amalapuram / Rajahmundry","Andhra Pradesh"
"AP06","Kakinada","Andhra Pradesh"
"AP07","Guntur / Piduguralla / Narasaraopet / Repalle","Andhra Pradesh"
"AP08","Guntur","Andhra Pradesh"
"AP09","Khairtabad, Hyderabad District","Andhra Pradesh"
"AP10","Secunderabad, Hyderabad District","Andhra Pradesh"
"AP11","Malakpet, Hyderabad District","Andhra Pradesh"
"AP12","Bahadurpura, Hyderabad District","Andhra Pradesh"
"AP13","Mehdipatnam, Hyderabad District","Andhra Pradesh"
"AP14","Karimnagar","Andhra Pradesh"
"AP15","Karimnagar / Jagtial / Peddapalli","Andhra Pradesh"
"AP16 & AP17","Bejawada / Gudivada / Machilipatnam / Nandigama","Andhra Pradesh"
"AP18 & AP19","Nuzvid","Andhra Pradesh"
"AP20","Khammam / Kothagudem / Sathupally / Yellandu","Andhra Pradesh"
"AP21","Kurnool / Adoni / Nandyal","Andhra Pradesh"
"AP22","Mahaboobnagar / Pebbair / Gadwal","Andhra Pradesh"
"AP23","Medak / Siddipet / Sangareddy (RC puram)","Andhra Pradesh"
"AP24","Nalgonda / Bhongir / Suryapet","Andhra Pradesh"
"AP25","Nizamabad / Kamareddy","Andhra Pradesh"
"AP26","Nellore / Kavali / Gudur / Sullurpeta","Andhra Pradesh"
"AP27","Ongole / Chirala / Markapur / Prakasam","Andhra Pradesh"
"AP28 & AP29","Rangareddy","Andhra Pradesh"
"AP30","Srikakulam /Tekkali /Palasa/Sompeta/Ichchapuram/Kaviti","Andhra Pradesh"
"AP31","Visakhapatnam / Gajuwaka / Anakapalli","Andhra Pradesh"
"AP32","Visakhapatnam","Andhra Pradesh"
"AP33 & AP34","Gajuwaka","Andhra Pradesh"
"AP35","Vizianagaram","Andhra Pradesh"
"AP36","Warangal / Jangaon / Mahabubabad","Andhra Pradesh"
"AP37","Eluru / Jangareddygudem / Kovvur / Tadepalligudem / Tanuku / Bhimavaram / Palakollu / Chintalapudi","Andhra Pradesh"
"AR01","Itanagar","Arunachal Pradesh"
"AR02","Itanagar (commercial vehicles of state transport)","Arunachal Pradesh"
"AR03","Tawang","Arunachal Pradesh"
"AR04","Bomdila","Arunachal Pradesh"
"AR05","Seppa","Arunachal Pradesh"
"AR06","Ziro","Arunachal Pradesh"
"AR07","Daporijo","Arunachal Pradesh"
"AR08","Along","Arunachal Pradesh"
"AR09","Pasighat","Arunachal Pradesh"
"AR10","Anini","Arunachal Pradesh"
"AR11","Tezu","Arunachal Pradesh"
"AR12","Changlang","Arunachal Pradesh"
"AR13","Khonsa","Arunachal Pradesh"
"AR14","Yingkiong","Arunachal Pradesh"
"AS01","Guwahati, Kamrup","Assam"
"AS02","Nagaon","Assam"
"AS03","Jorhat","Assam"
"AS04","Sibsagar","Assam"
"AS05","Golaghat","Assam"
"AS06","Dibrugarh","Assam"
"AS07","Lakhimpur district","Assam"
"AS08","Dima Hasao","Assam"
"AS09","Karbi Anglong","Assam"
"AS10","Karimganj","Assam"
"AS11","Cachar","Assam"
"AS12","Sonitpur","Assam"
"AS13","Darrang","Assam"
"AS14","Nalbari","Assam"
"AS15","Barpeta","Assam"
"AS16","Kokrajhar","Assam"
"AS17","Dhubri","Assam"
"AS18","Goalpara","Assam"
"AS19","Bongaigaon","Assam"
"AS21","Marigaon","Assam"
"AS22","Dhemaji","Assam"
"AS23","Tinsukia","Assam"
"AS24","Hailakandi","Assam"
"AS25","Guwahati no longer used","Assam"
"AS27","Udalguri","Assam"
"AS20","Assam State Transport Corporation (ASTC)","Assam"
"AS30","Assam Police vehicles","Assam"
"AS31","Assam Police","Assam"
"BR01","Patna","Bihar"
"BR02","Gaya","Bihar"
"BR03","Bhojpur","Bihar"
"BR04","Chapra","Bihar"
"BR05","Motihari","Bihar"
"BR06","Muzaffarpur","Bihar"
"BR07","Darbhanga","Bihar"
"BR08","Munger","Bihar"
"BR09","Begusarai","Bihar"
"BR10","Bhagalpur","Bihar"
"BR11","Purnea","Bihar"
"BR18","Chaibasa","Bihar"
"BR19","Saharsa","Bihar"
"BR20","(not allotted after Jharkhand Division)","Bihar"
"BR21","Nalanda","Bihar"
"BR22","Bettiah","Bihar"
"BR23","Giridih","Bihar"
"BR24","Dehri","Bihar"
"BR25","Jehanabad","Bihar"
"BR26","Aurangabad","Bihar"
"BR27","Nawada","Bihar"
"BR28","Gopalganj","Bihar"
"BR29","Siwan","Bihar"
"BR30","Sitamarhi","Bihar"
"BR31","Vaishali district","Bihar"
"BR32","Madhubani","Bihar"
"BR33","Samastipur","Bihar"
"BR34","Khagaria","Bihar"
"BR35","(not allotted after Jharkhand Division)","Bihar"
"BR36","(not allotted after Jharkhand Division)","Bihar"
"BR37","Kishanganj","Bihar"
"BR38","Araria","Bihar"
"BR39","Katihar","Bihar"
"BR40","(not allotted after Jharkhand Division)","Bihar"
"BR41","(not allotted after Jharkhand Division)","Bihar"
"BR42","(not allotted after Jharkhand Division)","Bihar"
"BR43","Madhepura","Bihar"
"BR44","Buxar","Bihar"
"BR45","Bhabua","Bihar"
"BR46","Jamui","Bihar"
"BR47","Koderma","Bihar"
"BR50","Supaul","Bihar"
"BR51","Banka","Bihar"
"BR52","Sheikhpura","Bihar"
"BR53","Lakhisarai","Bihar"
"BR54","(not allotted)","Bihar"
"BR55","(not allotted)","Bihar"
"BR56","Arwal","Bihar"
"CG01","Governor of Chattisgarh","Chhattisgarh"
"CG02","Government of Chattisgarh","Chhattisgarh"
"CG03","Chattisgarh Police","Chhattisgarh"
"CG04","Raipur","Chhattisgarh"
"CG05","Dhamtari","Chhattisgarh"
"CG06","Mahasamund","Chhattisgarh"
"CG07","Durg","Chhattisgarh"
"CG08","Rajnandgaon","Chhattisgarh"
"CG09","Kawardha","Chhattisgarh"
"CG10","Bilaspur","Chhattisgarh"
"CG11","JanjgirChampa","Chhattisgarh"
"CG12","Korba","Chhattisgarh"
"CG13","Raigarh","Chhattisgarh"
"CG14","Jashpur","Chhattisgarh"
"CG15","Ambikapur","Chhattisgarh"
"CG16","Baikunthpur","Chhattisgarh"
"CG17","Jagdalpur","Chhattisgarh"
"CG18","Dantewada","Chhattisgarh"
"CG19","Kanker","Chhattisgarh"
"CG20","Bijapur","Chhattisgarh"
"CH01","Chandigarh","Chandigarh"
"CH01 G","Chandigarh  Government Vehicles","Chandigarh"
"CH02","Chandigarh  Commercial Vehicles","Chandigarh"
"CH03","Chandigarh","Chandigarh"
"CH04","Chandigarh","Chandigarh"
"DD02","Diu","Daman and Diu"
"DD03","Daman","Daman and Diu"
"DL1","Delhi North: Mall Road","Delhi"
"DL2","New Delhi: Tilak Marg","Delhi"
"DL3","South Delhi South: Sheikh Sarai","Delhi"
"DL4","West Delhi West 1: West Janakpuri","Delhi"
"DL5","North East Delhi: Loni Road","Delhi"
"DL6","Central Delhi Central: Sarai Kale Khan","Delhi"
"DL7","East Delhi East 1: Mayur Vihar","Delhi"
"DL8","North West Delhi 1: Wazir Pur","Delhi"
"DL9","South West Delhi South West 1: Janakpuri / Palam","Delhi"
"DL10","West DelhiII: Raja Garden","Delhi"
"DL11","North West Delhi North West Zone II: Rohini","Delhi"
"DL12","South West Delhi South West II: Vasant Vihar","Delhi"
"DL13","East Delhi II: Surajmal Vihar / Shahdara","Delhi"
"DL14","Sonipat due to the NCR, effectively situated in Haryana","Delhi"
"DL15","Gurgaon due to the NCR, effectively situated in Haryana","Delhi"
"DL16","Faridabad due to the NCR, effectively situated in Haryana","Delhi"
"DL17","Noida due to the NCR, effectively situated in Uttar Pradesh","Delhi"
"DL18","Ghaziabad due to the NCR, effectively situated in Uttar Pradesh","Delhi"
"DL1L","Delhi for trucks","Delhi"
"DL1N","Delhi for nonresident Indians","Delhi"
"DL1P","Delhi for commercial buses","Delhi"
"DL1R","Delhi for auto rickshaws and radio taxis","Delhi"
"DL1T","Delhi for commercial taxis","Delhi"
"DL1Y","Delhi for commercial private taxis","Delhi"
"DN09","Silvassa","Dadra & Nagar Haveli"
"GA01","Panaji","Goa"
"GA02","Margao","Goa"
"GA03","Mapusa","Goa"
"GA04","Bicholim","Goa"
"GA05","Ponda","Goa"
"GA06","Vasco da Gama","Goa"
"GA07","Panaji","Goa"
"GA08","Margao","Goa"
"GA09","Quepem","Goa"
"GA10","Canacona","Goa"
"GA11","Pernem","Goa"
"GJ01","Ahmedabad","Gujarat"
"GJ02","Mehsana","Gujarat"
"GJ03","Rajkot","Gujarat"
"GJ04","Bhavnagar","Gujarat"
"GJ05","Surat","Gujarat"
"GJ06","Vadodara","Gujarat"
"GJ07","Kheda","Gujarat"
"GJ08","Palanpur","Gujarat"
"GJ09","Sabarkantha","Gujarat"
"GJ10","Jamnagar","Gujarat"
"GJ11","Junagadh","Gujarat"
"GJ12","Kutch","Gujarat"
"GJ13","Surendranagar","Gujarat"
"GJ14","Amreli","Gujarat"
"GJ15","Valsad","Gujarat"
"GJ16","Bharuch","Gujarat"
"GJ17","Panchmahal (Godhara)","Gujarat"
"GJ18","Gandhinagar","Gujarat"
"GJ19","Bardoli","Gujarat"
"GJ20","Dahod","Gujarat"
"GJ21","Navsari","Gujarat"
"GJ22","Narmada","Gujarat"
"GJ23","Anand","Gujarat"
"GJ24","Patan","Gujarat"
"GJ25","Porbandar","Gujarat"
"GJ26","Vyara","Gujarat"
"GJ27","East Ahmedabad","Gujarat"
"GJ28","West Surat","Gujarat"
"GJ29","Vadodara rural","Gujarat"
"GJ30","East Rajkot","Gujarat"
"HP01 & HP02","Shimla  Urban (tourist buses & taxis)","Himachal Pradesh"
"HP03","Shimla  Urban","Himachal Pradesh"
"HP04","Dharamsala (autorikshaws)","Himachal Pradesh"
"HP05","Mandi (autorikshaws)","Himachal Pradesh"
"HP06","Rampur Bushar","Himachal Pradesh"
