"PostOfficeName","Pincode","DistrictsName","City","State"
"Aberdeen Bazar","744104","A&N Islands","Port Blair","Andaman Nicobar"
"Bakultala","744208","A&N Islands","Port Blair","Andaman Nicobar"
"Bambooflat","744107","A&N Islands","Port Blair","Andaman Nicobar"
"Betapur","744201","A&N Islands","Port Blair","Andaman Nicobar"
"Campbell Bay","744302","A&N Islands","Port Blair","Andaman Nicobar"
"Car Nicobar","744301","Car Nicobar","Car Nicobar","Andaman Nicobar"
"Diglipur","744202","A&N Islands","Port Blair","Andaman Nicobar"
"Haddo","744102","A&N Islands","Port Blair","Andaman Nicobar"
"Havelock","744211","A&N Islands","Port Blair","Andaman Nicobar"
"Hut Bay","744207","A&N Islands","Port Blair","Andaman Nicobar"
"Jangli Ghat","744103","A&N Islands","Port Blair","Andaman Nicobar"
"Kadamtala A & N","744209","A&N Islands","Port Blair","Andaman Nicobar"
"Kapanga","744304","A&N Islands","Port Blair","Andaman Nicobar"
"Long Island","744203","A&N Islands","Port Blair","Andaman Nicobar"
"Marine Jetty","744101","A&N Islands","Port Blair","Andaman Nicobar"
"Mayabunder","744204","A&N Islands","Port Blair","Andaman Nicobar"
"N S Building","744101","A&N Islands","Port Blair","Andaman Nicobar"
"Nancowrie","744303","A&N Islands","Port Blair","Andaman Nicobar"
"Neel Island","744104","A&N Islands","Port Blair","Andaman Nicobar"
"New Secretariate Bldg","744105","A&N Islands","Port Blair","Andaman Nicobar"
"Oralkatcha","744210","A&N Islands","Port Blair","Andaman Nicobar"
"Port Blair","744101","A&N Islands","Port Blair","Andaman Nicobar"
"Ranghat","744205","A&N Islands","Port Blair","Andaman Nicobar"
"Shadipur","744106","A&N Islands","Port Blair","Andaman Nicobar"
"Wimberlygunji","744206","A&N Islands","Port Blair","Andaman Nicobar"
"A C Nagar","524002","Nellore","Nellore","Andhra Pradesh"
"A C Palli","508207","Nalgonda","Nalgonda","Andhra Pradesh"
"A G M Colony","504251","Adilabad","Adilabad","Andhra Pradesh"
"A G'S Office","500463","Hyderabad","Hyderabad","Andhra Pradesh"
"A G'S Office Staff","500890","Hyderabad","Hyderabad","Andhra Pradesh"
"A M A L College","531001","Vishakhapatnam","Vishakhapatnam","Andhra Pradesh"
"A P E R L","500030","Hyderabad","Hyderabad","Andhra Pradesh"
"A P S E Board","500049","Hyderabad","Hyderabad","Andhra Pradesh"
"A Raichur","509343","Mahboobnagar","Mahboobnagar","Andhra Pradesh"
"A T Agraharam","522004","Guntur","Guntur","Andhra Pradesh"
"A T P Collectorate","515001","Anantapur","Anantapur","Andhra Pradesh"
"Aallagadda","518543","Kurnool","Kurnool","Andhra Pradesh"
"Abadi Ghanpur","506144","Warangal","Warangal","Andhra Pradesh"
"Abadi Ramagundam","505208","Karimnagar","Karimnagar","Andhra Pradesh"
"Abbinenigunta Palem","522015","Guntur","Guntur","Andhra Pradesh"
"Abburu","522403","Guntur","Guntur","Andhra Pradesh"
"Ac Guards","500004","Hyderabad","Hyderabad","Andhra Pradesh"
"Academy","500252","Hyderabad","Hyderabad","Andhra Pradesh"
"Achampet","509375","Mahboobnagar","Lingotam","Andhra Pradesh"
"Achanta","534123","West Godavari","Achanta","Andhra Pradesh"
"Achutapuram","531011","Vishakhapatnam","Vishakhapatnam","Andhra Pradesh"
"Adarsh Nagar","504001","Adilabad","Adilabad","Andhra Pradesh"
"Adarsh Nagar","500463","Hyderabad","Hyderabad","Andhra Pradesh"
"Addanki","523201","Prakasam","Addanki","Andhra Pradesh"
"Addanki Gate","523001","Prakasam","Prakasam","Andhra Pradesh"
"Addatigala","533428","East Godavari","East Godavari","Andhra Pradesh"
"Adilabad","504001","Adilabad","Adilabad","Andhra Pradesh"
"Adilabad Collecotorate","504002","Adilabad","Adilabad","Andhra Pradesh"
"Adivarampet","505188","Karimnagar","Adivarampet","Andhra Pradesh"
"Adm Bldgs","507101","Khammam","Khammam","Andhra Pradesh"
"Administrative Building","500007","Hyderabad","Hyderabad","Andhra Pradesh"
"Administrative Building","500032","Hyderabad","Hyderabad","Andhra Pradesh"
"Adoni","518301","Kurnool","Adoni","Andhra Pradesh"
"Adoni Arts College","518302","Kurnool","Kurnool","Andhra Pradesh"
"Adoni Cotton Market","518301","Kurnool","Kurnool","Andhra Pradesh"
"Adoni Town","518301","Kurnool","Kurnool","Andhra Pradesh"
"Adsarla Pally","508367","Nalgonda","Nalgonda","Andhra Pradesh"
"Advanced Training Institute","500007","Hyderabad","Hyderabad","Andhra Pradesh"
"Advula Divi","522263","Guntur","Guntur","Andhra Pradesh"
"Afzal Gunj","500012","Hyderabad","Hyderabad","Andhra Pradesh"
"Agadur","516421","Cuddapah","Agadur","Andhra Pradesh"
"Agali","515311","Anantapur","Anantapur","Andhra Pradesh"
"Agnoor","501146","Ranga Reddy","Agnoor","Andhra Pradesh"
"Agraharam","522270","Guntur","Guntur","Andhra Pradesh"
"Agraharam","534196","West Godavari","West Godavari","Andhra Pradesh"
"Agri Market Yard","522004","Guntur","Guntur","Andhra Pradesh"
"Agricultural College Jubilee","500030","Hyderabad","Hyderabad","Andhra Pradesh"
"Ahmed Nagar","500028","Hyderabad","Hyderabad","Andhra Pradesh"
"Ahmed Nagar","523155","Prakasam","Prakasam","Andhra Pradesh"
"Ainapur","501522","Ranga Reddy","Ainapur","Andhra Pradesh"
"Ainavolu","522659","Guntur","Guntur","Andhra Pradesh"
"Air Force Academy","500043","Hyderabad","Hyderabad","Andhra Pradesh"
"Aitipamula","508216","Nalgonda","Nalgonda","Andhra Pradesh"
"Ajit Nagar","520015","Krishna","Krishna","Andhra Pradesh"
"Ajjada","532552","Srikakulam","Ajjada","Andhra Pradesh"
"Ajjaram","534339","West Godavari","West Godavari","Andhra Pradesh"
"Akepadu","516132","Cuddapah","Cuddapah","Andhra Pradesh"
"Akividu","534235","West Godavari","West Godavari","Andhra Pradesh"
"Akividu Bazar","534235","West Godavari","West Godavari","Andhra Pradesh"
"Akkalareddy Palle","516506","Kurnool","Kurnool","Andhra Pradesh"
"Akkayyapelem","530016","Vishakhapatnam","Vishakhapatnam","Andhra Pradesh"
"Akkupalle","532219","Srikakulam","Srikakulam","Andhra Pradesh"
"Akkurti","517536","Chittoor","Chittoor","Andhra Pradesh"
"Akumalla","518196","Kurnool","Kurnool","Andhra Pradesh"
"Akunuru","521245","Krishna","Krishna","Andhra Pradesh"
"Akuthotapally","509362","Mahboobnagar","Mahboobnagar","Andhra Pradesh"
"Alamanda R S","531240","Vizianagaram","Vizianagaram","Andhra Pradesh"
"Alampur","509152","Mahboobnagar","Mahboobnagar","Andhra Pradesh"
"Alamuru","533233","East Godavari","East Godavari","Andhra Pradesh"
"Alamuru","534126","West Godavari","West Godavari","Andhra Pradesh"
"Alcot Gardens","533101","East Godavari","East Godavari","Andhra Pradesh"
"Algunur","505533","Karimnagar","Karimnagar","Andhra Pradesh"
"Alipur","505330","Karimnagar","Karimnagar","Andhra Pradesh"
"Alir","508101","Nalgonda","Nalgonda","Andhra Pradesh"
"Alla Durg","502269","Medak","Medak","Andhra Pradesh"
"Allagadda North","518543","Kurnool","Kurnool","Andhra Pradesh"
"Allavaram","533217","East Godavari","East Godavari","Andhra Pradesh"
