"City","Code"
"Barkheda Kalan","07410"
"Abhayapuri","03669"
"Abohar","01634"
"Abu Road","02974"
"Achalpur","07223"
"Achampet","08541"
"Achhnera","05613"
"Adampur Mandi","01669"
"Adhaura","06180"
"Adilabad","08732"
"Adimaly","04864"
"Adoni","08512"
"Adoor","04734"
"Adra","03251"
"Afzalpur","08470"
"Agar","07362"
"Agartala","0381"
"Agathy","04894"
"Agra","0562"
"Aheri","07133"
"Ahmedabad Local","079"
"Ahmednagar","0241"
"Ahmedpur","02381"
"Ahore","02978"
"Ahwa","02631"
"Ainapur","08339"
"Aizwal-I","0389"
"Aizwal-Ii","03838"
"Ajaigarh","07730"
"Ajara","02323"
"Ajmer","0145"
"Ajnala","01858"
"Akbarpur","05111"
"Akbarpur-I","05271"
"Akbarpur-Ii","05275"
"Akhnoor","01924"
"Akkalkot","02181"
"Aklera","07431"
"Akola","0724"
"Akole","02424"
"Akot","07258"
"Alampur","08502"
"Aland","08477"
"Alathur","04922"
"Alibagh","02141"
"Aliganj","05740"
"Aligarh","0571"
"Alipurduar","03564"
"Alirajpur","07394"
"Allagadda","08519"
"Allahabad","0532"
"Alleppy","0477"
"Almora","05962"
"Along","03783"
"Alur","08523"
"Alur","08170"
"Alwar","0144"
"Amagaon","07189"
"Amalapuram","08856"
"Amalner","02587"
"Amangallu","08545"
"Amarpatan","07675"
"Amarpur","06420"
"Amarwada","07167"
"Amb","01976"
"Ambad","02483"
"Ambah","07538"
"Ambala","0171"
"Ambasa","03826"
"Ambasamudram","04634"
"Ambejogai","02446"
"Amber","01423"
"Ambikapur","07774"
"Amet","02908"
"Amethi","05368"
"Amini","04891"
"Amlagora","03227"
"Amlaren","03653"
"Amod","02641"
"Amravati","0721"
"Amreli","02792"
"Amritsar","0183"
"Amroha","05922"
"Anakapalle","08924"
"Anamali","04253"
"Anand","02692"
"Anandapur","06731"
"Anantapur","08554"
"Anantnag","01932"
"Andole","08450"
"Androth","04893"
"Anekal","08110"
"Anini","03801"
"Anjar","02836"
"Ankaleshwar","02646"
"Ankola","08388"
"Anndman Island","03192"
"Anola-I","05823"
"Anola-Ii","05824"
"Antagarh","07847"
"Anugul","06764"
"Anupgarh(E)","01498"
"Anupgarh(W)","01506"
"Arakandanallur","04153"
"Araku","08936"
"Arambagh","03211"
"Arang","07720"
"Arantangi","04371"
"Araria","06453"
"Aravakurichi","04320"
"Areraj","06258"
"Ariyalur","04329"
"Arjuni Merogaon","07196"
"Arki","01796"
"Arkonam","04177"
"Armoor","08463"
"Arni","04173"
"Arone","07545"
"Arrah","06182"
"Arsikere","08174"
"Aruppukottai","04566"
"Arvi","07157"
"Arwal","06337"
"Asansol","0341"
"Ashoknagar","07543"
"Ashta","07560"
"Ashti","02441"
"Asifabad","08733"
"Asind","01480"
"Aska","06822"
"Aspur","02967"
"Assandh","01749"
"Aswaraopet","08740"
"Athani","08289"
"Athgarh","06723"
"Athmallik","06763"
"Atmakur","08517"
"Atmakur","08627"
"Atmakur","08504"
"Atner","07144"
"Atpadi","02343"
"Atrauli","05723"
"Atru","07451"
"Attabira","06682"
"Attingal","0470"
"Attur","04282"
"Aurad","08485"
"Auraiya","05683"
"Aurangabad","06186"
"Aurangabad","02432"
"Ausa","02383"
"Avanashi","04296"
"Azamgarh","05462"
"B. Kothakota","08582"
"Babaichichli","07790"
"Baberu","05190"
"Babhulgaon","07203"
"Bableshwar","08355"
"Babra","02791"
"Bacheli","07857"
"Badagara","0496"
"Badamalhera","07689"
"Badami","08357"
"Badarwsas","07495"
"Badaun","05832"
"Badgam","01951"
"Badnagar","07367"
"Badnawar","07295"
"Badvel","08569"
"Badwani","07290"
"Bagaha","06251"
"Bagalkot","08354"
"Bagbahera","07707"
"Bagdihi","06640"
"Bagepalli","08150"
"Bageshwar","05963"
"Baghmara","03639"
"Baghpat-Ii","01234"
"Bagicha","07769"
"Bagidora","02968"
"Bagli","07271"
"Bagodar","06557"
"Bahadurgarh","01276"
"Baharagora","06594"
"Baheri","05822"
"Bahraich-I","05252"
"Bahraich-Ii","05250"
"Baihar","07636"
"Baikunthpur","07836"
"Bailhongal","08288"
"Baithalangshu","03677"
"Balachaur","01885"
"Balaghat","07632"
"Balangir","06652"
"Balapur","07257"
"Balasinor","02690"
"Balasore","06782"
"Baldeogarh","07684"
"Baldi","07326"
"Bali(N)","02933"
"Bali(S)","02938"
"Baliguda","06846"
"Ballia-I","05498"
"Ballia-Ii","05496"
"Balod","07749"
"Balodabazar","07727"
"Balrampur","07831"
"Balrampur-I","05263"
"Balrampur-Ii","05264"
"Balugaon","06756"
"Balumath","06568"
"Balurghat","03522"
"Bamanwas","07467"
"Bameng","03785"
"Bamori","07540"
"Banaganapalle","08515"
"Banaigarh","06626"
"Banda","07583"
"Banda","05192"
"Bandar","08672"
"Bandhavgarh","07653"
"Bandipur","01957"
"Banera","01487"
"Bangalore","080"
"Bangarpet","08153"
"Bangarupalem","08573"
"Bangiriposi","06791"
"Banjar","01903"
"Banka","06424"
"Bankura","03242"
"Banmankhi","06467"
"Bansada","02630"
"Bansdeeh","05494"
"Bansgaon-I","05525"
"Bansgaon-Ii","05521"
"Bansi","05545"
"Bansur","01461"
"Banswada","08466"
"Banswara","02962"
"Bantwal","08255"
"Bapatla","08643"
"Barabanki","05248"
"Barachakia","06257"
"Barama","03623"
"Baramati","02112"
"Baramulla","01952"
"Baran","07453"
"Barara","01731"
"Barauni","06279"
"Barbil","06767"
"Bardoli","02622"
"Bareilly","0581"
"Bareja","02718"
"Bareli","07486"
"Bargarh","06646"
"Barh","06132"
"Barhi","06543"
"Bari","05647"
"Baripada","06792"
"Barisadri","01473"
"Barkagaon","06551"
"Barkot","06643"
"Barmer (C )","02982"
"Barmer (E )","02983"
"Barmer (N )","02902"
"Barmer (S )","02984"
"Barmer (Sw )","02986"
"Barmer (W )","02985"
"Barnala","01679"
"Baroda","07531"
"Barosi","06451"
"Barpalli","07813"
"Barpeta Road","03666"
"Barshi Takli","07255"
"Barsi","02184"
"Barwadih","06567"
"Barwaha","07280"
"Barwala","02711"
"Barwala","01693"
"Basana","07724"
